,Date,rank,title,total ratings,installs,average rating,growth (30 days),growth (60 days),price,category,paid,5 star ratings,4 star ratings,3 star ratings,2 star ratings,1 star ratings
32,01/10/2020,10,Solitaire,648068,50000000.0,4.0,0.0,0.0,0.0,GAME CARD,0,566647.75,128512.5,39936.0,13320.25,39624.75
33,01/10/2020,10,TVSMILES - Quiz and Prizes,406864,1000000.0,4.0,0.0,0.0,0.0,GAME TRIVIA,0,292046.0,61432.0,25546.0,7248.0,20589.0
34,01/10/2020,10,Township,8306868,100000000.0,4.0,0.6,1.2,0.0,GAME CASUAL,0,5666720.0,959679.0,483208.0,261701.0,935558.0
35,01/10/2020,10,لعبة كلمة السر : الجزء الثاني,812635,10000000.0,4.0,0.9,2.0,0.0,GAME WORD,0,696255.0,44418.0,29406.0,11114.0,31439.0
36,01/11/2020,11,Bingo Blitz™️ - Bingo Games,788064,10000000.0,4.0,1.8,3.9,0.0,GAME BOARD,0,604370.0,104216.0,34581.0,14116.0,30778.0
37,01/11/2020,11,Bus Simulator: Original,1487303,50000000.0,4.0,0.1,0.1,0.0,GAME SIMULATION,0,940898.0,164202.0,112902.0,56945.0,212354.0
38,01/11/2020,11,Candy Crush Soda Saga,8071775,100000000.0,4.0,0.4,0.8,0.0,GAME CASUAL,0,6031478.0,1145290.0,420595.0,132006.0,342404.0
39,01/11/2020,11,Clash of Kings : Newly Presented Knight System,2317500,50000000.0,4.0,0.0,0.1,0.0,GAME STRATEGY,0,1492317.0,268330.0,147956.0,76316.0,332578.0
40,01/11/2020,11,Disney Frozen Free Fall - Play Frozen Puzzle Games,1713085,50000000.0,4.0,0.1,0.2,0.0,GAME PUZZLE,0,1268094.0,258390.0,86945.0,28762.0,70892.0
41,01/11/2020,11,DoubleU Casino - Free Slots,664469,10000000.0,4.0,0.6,1.2,0.0,GAME CASINO,0,458507.0,97014.0,48182.0,19338.0,41426.0
42,01/11/2020,11,Fun Race 3D,2221285,100000000.0,4.0,2.1,5.2,0.0,GAME RACING,0,1465135.0,236017.0,175065.0,95923.0,249142.0
43,01/11/2020,11,Gin Rummy Plus,561518,10000000.0,4.0,0.8,1.6,0.0,GAME CARD,0,426538.0,60455.0,24904.0,10746.0,38873.0
44,01/11/2020,11,Masha and the Bear. Educational Games,210406,100000000.0,4.0,1.9,4.3,0.0,GAME EDUCATIONAL,0,142332.0,15737.0,11577.0,9045.0,31713.0
45,01/11/2020,11,Piano Kids - Music & Songs,407001,100000000.0,4.0,3.9,8.6,0.0,GAME MUSIC,0,302144.0,36847.0,19082.0,11939.0,36986.0
46,01/11/2020,11,Pixel Gun 3D: FPS Shooter & Battle Royale,5681934,100000000.0,4.0,0.2,0.5,0.0,GAME ACTION,0,3866308.0,527159.0,326294.0,186593.0,775578.0
47,01/11/2020,11,Pooking - Billiards City,2651825,100000000.0,4.0,1.9,4.0,0.0,GAME SPORTS,0,1882062.0,372889.0,168158.0,63964.0,164749.0
48,01/11/2020,11,RAID: Shadow Legends,1363701,10000000.0,4.0,1.9,3.9,0.0,GAME ROLE PLAYING,0,919549.0,170753.0,64585.0,40706.0,168105.0
49,01/11/2020,11,The Walking Dead: Season One,1279866,10000000.0,4.0,0.1,0.3,0.0,GAME ADVENTURE,0,990768.0,104418.0,57683.0,28206.0,98788.0
50,01/11/2020,11,Vector,3398125,100000000.0,4.0,0.2,0.5,0.0,GAME ARCADE,0,2395375.0,354636.0,204730.0,99007.0,344374.0
51,01/11/2020,11,فطحل العرب - لعبة معلومات عامة,379611,5000000.0,4.0,0.3,0.6,0.0,GAME TRIVIA,0,310072.0,33669.0,17359.0,5129.0,13379.0
